"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q9ES21","SAC1_RAT","Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)","Sacm1l Sac1","Rattus norvegicus (Rat)",587
"Q8XZX8","UGPC_RALSO","sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)","ugpC RSc1267","Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum)",365
"Q6DFM1","SNF5_XENTR","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","smarcb1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",378
"Q9UPY6","WASF3_HUMAN","Wiskott-Aldrich syndrome protein family member 3 (WASP family protein member 3) (Protein WAVE-3) (Verprolin homology domain-containing protein 3)","WASF3 KIAA0900 SCAR3 WAVE3","Homo sapiens (Human)",502
"B3DIY3","MMS22_DANRE","Protein MMS22-like (Methyl methanesulfonate-sensitivity protein 22-like)","mms22l zgc:194596","Danio rerio (Zebrafish) (Brachydanio rerio)",1240
"Q8T8R1","Y3800_DROME","CCHC-type zinc finger protein CG3800","CG3800","Drosophila melanogaster (Fruit fly)",165
"Q8WV99","ZFN2B_HUMAN","AN1-type zinc finger protein 2B (Arsenite-inducible RNA-associated protein-like protein) (AIRAP-like protein)","ZFAND2B AIRAPL","Homo sapiens (Human)",257
"B1AK53","ESPN_HUMAN","Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)","ESPN DFNB36 LP2654","Homo sapiens (Human)",854
"Q9D051","ODPB_MOUSE","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)","Pdhb","Mus musculus (Mouse)",359
"Q5ZIG3","S2546_CHICK","Solute carrier family 25 member 46","SLC25A46 RCJMB04_26i24","Gallus gallus (Chicken)",408
"Q5ZMS3","IF2G_CHICK","Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma) (eIF-2-gamma)","EIF2S3 RCJMB04_1f8","Gallus gallus (Chicken)",472
"Q6NWF4","VPS25_DANRE","Vacuolar protein-sorting-associated protein 25 (ESCRT-II complex subunit VPS25)","vps25","Danio rerio (Zebrafish) (Brachydanio rerio)",174
"Q52JK6","VIP2_NICBE","Probable NOT transcription complex subunit VIP2 (Protein VIRE2 INTERACTING PROTEIN2) (NbVIP2) (Fragment)","VIP2","Nicotiana benthamiana",603
"Q8BFW4","TRI65_MOUSE","Tripartite motif-containing protein 65","Trim65","Mus musculus (Mouse)",522
"Q8IXX5","T183A_HUMAN","Transmembrane protein 183A","TMEM183A C1orf37","Homo sapiens (Human)",376
"Q9H078","CLPB_HUMAN","Caseinolytic peptidase B protein homolog (EC 3.6.1.-) (Suppressor of potassium transport defect 3)","CLPB HSP78 SKD3","Homo sapiens (Human)",707
"Q8N587","ZN561_HUMAN","Zinc finger protein 561","ZNF561","Homo sapiens (Human)",486
"Q7N3S7","HMUV_PHOLL","Hemin import ATP-binding protein HmuV (EC 7.6.2.-)","hmuV plu2636","Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)",264
"Q6NTV6","INF2_XENLA","Inverted formin-2","inf2","Xenopus laevis (African clawed frog)",1099
"A4IGH2","RSAD1_DANRE","Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (Putative heme chaperone)","rsad1","Danio rerio (Zebrafish) (Brachydanio rerio)",444
"Q9WV80","SNX1_MOUSE","Sorting nexin-1","Snx1","Mus musculus (Mouse)",522
"A7Z019","SMCA4_BOVIN","Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)","SMARCA4 BAF190A BRG1 SNF2B SNF2L4","Bos taurus (Bovine)",1606
"Q5U2X5","ACK1_RAT","Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)","Tnk2 Ack1","Rattus norvegicus (Rat)",1040
"Q1JUP4","KGSD1_AZOBR","Alpha-ketoglutaric semialdehyde dehydrogenase 1 (alphaKGSA dehydrogenase 1) (EC 1.2.1.26) (2,5-dioxovalerate dehydrogenase 1) (2-oxoglutarate semialdehyde dehydrogenase 1) (KGSADH-I) (Succinate-semialdehyde dehydrogenase [NAD(+)]) (SSDH) (EC 1.2.1.24)","araE","Azospirillum brasilense",481
"P47154","STE24_YEAST","CAAX prenyl protease 1 (EC 3.4.24.84) (A-factor-converting enzyme) (Prenyl protein-specific endoprotease 1) (PPSEP 1)","STE24 AFC1 YJR117W J2032","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",453
"P51147","RAB5C_CANLF","Ras-related protein Rab-5C","RAB5C","Canis lupus familiaris (Dog) (Canis familiaris)",216
"O08575","EYA2_MOUSE","Eyes absent homolog 2 (EC 3.1.3.48)","Eya2 Eab1","Mus musculus (Mouse)",532
"Q9HFV1","CYB5_RHIST","Cytochrome b5","","Rhizopus stolonifer (Rhizopus nigricans)",131
"Q29KG4","AFFL_DROPS","AF4/FMR2 family member lilli (Protein lilliputian)","lilli GA21343","Drosophila pseudoobscura pseudoobscura (Fruit fly)",1770
"Q1HDZ5","EIF3B_BOMMO","Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9)","eIF3-S9","Bombyx mori (Silk moth)",695
"Q93ZY3","STT3A_ARATH","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Oligosaccharyl transferase subunit STT3A) (STT3-A) (EC 2.4.99.18) (Integral membrane protein 1) (Protein STAUROSPORIN AND TEMPERATURE SENSITIVE 3-LIKE A)","STT3A At5g19690 T29J13_110","Arabidopsis thaliana (Mouse-ear cress)",779
"Q6NXR4","TTI2_HUMAN","TELO2-interacting protein 2","TTI2 C8orf41","Homo sapiens (Human)",508
"Q9H7F0","AT133_HUMAN","Probable cation-transporting ATPase 13A3 (EC 7.2.2.-) (ATPase family homolog up-regulated in senescence cells 1)","ATP13A3 AFURS1","Homo sapiens (Human)",1226
"P58283","RN216_MOUSE","E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (UbcM4-interacting protein 83) (Ubiquitin-conjugating enzyme 7-interacting protein 1)","Rnf216 Triad3 Ubce7ip1 Uip83 Zin","Mus musculus (Mouse)",853
"Q9ER00","STX12_MOUSE","Syntaxin-12","Stx12","Mus musculus (Mouse)",274
"Q8GX78","ANTR2_ARATH","Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)","PHT4;4 ANTR2 At4g00370 A_IG005I10_nn F5I10.7","Arabidopsis thaliana (Mouse-ear cress)",541
"Q3TYU2","AT135_MOUSE","Probable cation-transporting ATPase 13A5 (EC 7.2.2.-) (P5-ATPase isoform 5)","Atp13a5","Mus musculus (Mouse)",1216
"Q5RED0","PGRC1_PONAB","Membrane-associated progesterone receptor component 1","PGRMC1","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",195
"P05552","ADF1_DROME","Transcription factor Adf-1 (ADH distal factor 1)","Adf1 CG15845","Drosophila melanogaster (Fruit fly)",262
"Q5REY8","RM44_PONAB","39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-)","MRPL44","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",332
"E9PZZ1","PRD13_MOUSE","PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13)","Prdm13","Mus musculus (Mouse)",754
"O34399","GLTB_BACSU","Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (NADPH-GOGAT)","gltB BSU18440","Bacillus subtilis (strain 168)",493
"Q803C3","HDAC3_DANRE","Histone deacetylase 3 (HD3) (EC 3.5.1.98)","hdac3 zgc:55927","Danio rerio (Zebrafish) (Brachydanio rerio)",428
"Q3ZCJ7","TBA1C_BOVIN","Tubulin alpha-1C chain [Cleaved into: Detyrosinated tubulin alpha-1C chain]","TUBA1C","Bos taurus (Bovine)",449
"P27398","CAND_DROME","Calpain-D (EC 3.4.22.-) (Calcium-activated neutral proteinase D) (CANP D) (Small optic lobes protein)","sol CalpD CG1391","Drosophila melanogaster (Fruit fly)",1594
"Q55CV9","Y9880_DICDI","CaiB/baiF CoA-transferase family protein DDB_G0269880 (EC 2.-.-.-)","DDB_G0269880","Dictyostelium discoideum (Slime mold)",471
"P61207","ARF3_TAKRU","ADP-ribosylation factor 3","arf3","Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)",181
"P31335","PUR9_CHICK","Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (IMP synthase) (Inosinicase)]","ATIC PURH","Gallus gallus (Chicken)",593
"Q4R333","ACL6A_MACFA","Actin-like protein 6A (BRG1-associated factor 53A) (BAF53A)","ACTL6A BAF53A QtsA-19983","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",429
"Q60793","KLF4_MOUSE","Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)","Klf4 Ezf Gklf Zie","Mus musculus (Mouse)",483
"Q6P6S9","ENTP5_RAT","Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)","Entpd5","Rattus norvegicus (Rat)",427
"Q6NUV0","RB3GP_DANRE","Rab3 GTPase-activating protein catalytic subunit","rab3gap1 rab3gap wu:fj56a04","Danio rerio (Zebrafish) (Brachydanio rerio)",969
"A5DQP9","ACT_PICGU","Actin","ACT1 PGUG_05600","Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii)",360
"Q1GSD9","SYA_SPHAL","Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)","alaS Sala_1720","Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256) (Sphingomonas alaskensis)",884
"Q499Q5","MKS1_RAT","Meckel syndrome type 1 protein homolog","Mks1","Rattus norvegicus (Rat)",561
"Q5R5V5","VATB2_PONAB","V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Vacuolar proton pump subunit B 2)","ATP6V1B2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",511
"O15075","DCLK1_HUMAN","Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)","DCLK1 DCAMKL1 DCDC3A KIAA0369","Homo sapiens (Human)",740
"Q6ZQF0","TOPB1_MOUSE","DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1)","Topbp1 Kiaa0259","Mus musculus (Mouse)",1515
"Q3SZU9","TM141_BOVIN","Transmembrane protein 141","TMEM141","Bos taurus (Bovine)",108
"Q6NV26","SDA1_DANRE","Protein SDA1 homolog (SDA1 domain-containing protein 1)","sdad1","Danio rerio (Zebrafish) (Brachydanio rerio)",682
"C1E9Y5","RTCB_MICCC","RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)","MICPUN_59883","Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)",513
"Q5RFH3","NDKB_PONAB","Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (Histidine protein kinase NDKB) (EC 2.7.13.3)","NME2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",152
"Q8VD65","PI3R4_MOUSE","Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1)","Pik3r4 Vps15","Mus musculus (Mouse)",1358
"P13608","PGCA_BOVIN","Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP)","ACAN AGC1","Bos taurus (Bovine)",2364
"O43172","PRP4_HUMAN","U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)","PRPF4 PRP4","Homo sapiens (Human)",522
"B5X2B8","ERAL1_SALSA","GTPase Era, mitochondrial (ERA-like protein 1)","eral1","Salmo salar (Atlantic salmon)",457
"Q5PQN1","HERC4_RAT","Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4)","Herc4","Rattus norvegicus (Rat)",1057
"Q5REX3","ZFR_PONAB","Zinc finger RNA-binding protein","ZFR","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",1074
"A4IIL4","BROX_XENTR","BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein)","brox","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",411
"Q80YV3","TRRAP_MOUSE","Transformation/transcription domain-associated protein (Tra1 homolog)","Trrap","Mus musculus (Mouse)",2565
"P47805","M1I1A_DANRE","Mid1-interacting protein 1A (Gastrulation-specific protein G12)","mid1ip1a g12","Danio rerio (Zebrafish) (Brachydanio rerio)",152
"P0C8E4","M3K7_RAT","Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25)","Map3k7","Rattus norvegicus (Rat)",606
"Q8N895","ZN366_HUMAN","Zinc finger protein 366 (Dendritic cell-specific transcript protein) (DC-SCRIPT)","ZNF366","Homo sapiens (Human)",744
"Q9UJA5","TRM6_HUMAN","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (mRNA methyladenosine-N(1)-methyltransferase non-catalytic subunit TRM6) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)","TRMT6 KIAA1153 TRM6 CGI-09","Homo sapiens (Human)",497
"A9JTX2","MTG1_XENTR","Mitochondrial ribosome-associated GTPase 1 (Mitochondrial GTPase 1)","mtg1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",311
"Q3ZC26","SC5AB_BOVIN","Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11)","SLC5A11 SMIT2","Bos taurus (Bovine)",674
"Q17162","VINC_BRUMA","Vinculin","","Brugia malayi (Filarial nematode worm)",993
"Q14644","RASA3_HUMAN","Ras GTPase-activating protein 3 (GAP1(IP4BP)) (Ins P4-binding protein)","RASA3","Homo sapiens (Human)",834
"Q7ZU92","PARN_DANRE","Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Polyadenylate-specific ribonuclease)","parn zgc:56067","Danio rerio (Zebrafish) (Brachydanio rerio)",660
"O95347","SMC2_HUMAN","Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog)","SMC2 CAPE SMC2L1 PRO0324","Homo sapiens (Human)",1197
"Q9Z130","HNRDL_MOUSE","Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (JKT41-binding protein)","Hnrnpdl Hnrpdl Jktbp","Mus musculus (Mouse)",301
"Q9R0G6","COMP_MOUSE","Cartilage oligomeric matrix protein (COMP)","Comp","Mus musculus (Mouse)",755
"Q9Y5T4","DJC15_HUMAN","DnaJ homolog subfamily C member 15 (Cell growth-inhibiting gene 22 protein) (Methylation-controlled J protein) (MCJ)","DNAJC15 DNAJD1 GIG22 HSD18","Homo sapiens (Human)",150
"W4VS53","CRVP_TRILK","CRISP/Allergen/PR-1 (Cap-1)","","Trittame loki (Brush-footed trapdoor spider)",406
"Q9UP83","COG5_HUMAN","Conserved oligomeric Golgi complex subunit 5 (COG complex subunit 5) (13S Golgi transport complex 90 kDa subunit) (GTC-90) (Component of oligomeric Golgi complex 5) (Golgi transport complex 1)","COG5 GOLTC1 GTC90","Homo sapiens (Human)",839
"O89079","COPE_MOUSE","Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)","Cope Cope1","Mus musculus (Mouse)",308
"P28810","MMSA_PSEAE","Methylmalonate-semialdehyde dehydrogenase [acylating] (MMSDH) (EC 1.2.1.27)","mmsA PA3570","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",497
"P08183","MDR1_HUMAN","ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)","ABCB1 MDR1 PGY1","Homo sapiens (Human)",1280
"Q8BLY1","SMOC1_MOUSE","SPARC-related modular calcium-binding protein 1 (SPARC-related gene protein) (Secreted modular calcium-binding protein 1) (SMOC-1)","Smoc1 Srg","Mus musculus (Mouse)",463
"E2RK33","GATC_CANLF","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)","GATC","Canis lupus familiaris (Dog) (Canis familiaris)",155
"Q18PD9","DOK7_TAKRU","Protein Dok-7 (Downstream of tyrosine kinase 7)","dok7","Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)",502
"Q9H7R5","ZN665_HUMAN","Zinc finger protein 665 (Zinc finger protein 160-like)","ZNF665 ZFP160L","Homo sapiens (Human)",678
"Q8LF48","THIK1_ARATH","3-ketoacyl-CoA thiolase 1, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase 1) (Beta-ketothiolase 1) (Peroxisomal 3-oxoacyl-CoA thiolase 1)","KAT1 At1g04710 T1G11.4","Arabidopsis thaliana (Mouse-ear cress)",443
"Q32PI6","RM04_BOVIN","39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4)","MRPL4","Bos taurus (Bovine)",294
"O70496","CLCN7_MOUSE","H(+)/Cl(-) exchange transporter 7 (Chloride channel 7 alpha subunit) (Chloride channel protein 7) (ClC-7)","Clcn7 Clc7","Mus musculus (Mouse)",803
"P29341","PABP1_MOUSE","Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)","Pabpc1 Pabp1","Mus musculus (Mouse)",636
"Q5ZJN2","RB11A_CHICK","Ras-related protein Rab-11A","RAB11A RCJMB04_16p4","Gallus gallus (Chicken)",216
"Q9W2U4","PP4R2_DROME","Serine/threonine-protein phosphatase 4 regulatory subunit 2 (PPP4R2-related protein)","PPP4R2r CG2890","Drosophila melanogaster (Fruit fly)",609
"Q14585","ZN345_HUMAN","Zinc finger protein 345 (Zinc finger protein HZF10)","ZNF345","Homo sapiens (Human)",488
"Q05B89","NIF3L_BOVIN","NIF3-like protein 1","NIF3L1","Bos taurus (Bovine)",377
"Q9D906","ATG7_MOUSE","Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (mAGP7) (Ubiquitin-activating enzyme E1-like protein)","Atg7 Apg7l","Mus musculus (Mouse)",698
"P41004","SMC4_SCHPO","Structural maintenance of chromosomes protein 4 (Cell untimely torn protein 3) (Chromosome segregation protein cut3)","cut3 smc4 SPBC146.03c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",1324
"A2RSJ4","UH1BL_MOUSE","UHRF1-binding protein 1-like (Syntaxin-6 Habc-interacting protein of 164 kDa)","Uhrf1bp1l Kiaa0701 Ship164","Mus musculus (Mouse)",1457
"Q8VD66","ABHD4_MOUSE","(Lyso)-N-acylphosphatidylethanolamine lipase (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 4) (Abhydrolase domain-containing protein 4) (Alpha/beta-hydrolase 4)","Abhd4","Mus musculus (Mouse)",342
"Q8VD04","GRAP1_MOUSE","GRIP1-associated protein 1 (GRASP-1) (HCMV-interacting protein) [Cleaved into: GRASP-1 C-terminal chain (30kDa C-terminus form)]","Gripap1 DXImx47e Kiaa1167","Mus musculus (Mouse)",806
"Q9UQ90","SPG7_HUMAN","Paraplegin (EC 3.4.24.-) (Cell matrix adhesion regulator) (Spastic paraplegia 7 protein)","SPG7 CAR CMAR PGN","Homo sapiens (Human)",795
"Q80TG9","LRFN2_MOUSE","Leucine-rich repeat and fibronectin type-III domain-containing protein 2","Lrfn2 Kiaa1246 Salm1","Mus musculus (Mouse)",788
"Q8J0E9","CEFD1_ACRCH","Isopenicillin N epimerase component 1 (IPN epimerase component 1) (EC 5.1.1.17) (Isopenicillin N epimerase acyl-CoA synthase component) (EC 6.2.1.-)","cefD1","Acremonium chrysogenum (Cephalosporium acremonium)",609
"Q9Y3B1","PLD3B_HUMAN","PRELI domain containing protein 3B (Protein slowmo homolog 2)","PRELID3B C20orf45 SLMO2 CGI-107","Homo sapiens (Human)",194
"Q2NKV8","GOT1A_BOVIN","Vesicle transport protein GOT1A (Golgi transport 1 homolog A)","GOLT1A","Bos taurus (Bovine)",132
"Q96GS6","AB17A_HUMAN","Alpha/beta hydrolase domain-containing protein 17A (Abhydrolase domain-containing protein 17A) (EC 3.1.2.22)","ABHD17A C19orf27 FAM108A1","Homo sapiens (Human)",310
"Q704E8","ABCB7_RAT","ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)","Abcb7","Rattus norvegicus (Rat)",752
"B2GU58","KIF11_XENTR","Kinesin-like protein KIF11 (Costal2)","kif11 cos2","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",1067
"Q47944","SDH_GLUOY","L-sorbose 1-dehydrogenase (SDH) (EC 1.1.99.32)","","Gluconobacter oxydans (Gluconobacter suboxydans)",531
"Q7PCJ8","SAT2_BOVIN","Thialysine N-epsilon-acetyltransferase (EC 2.3.1.-) (Diamine acetyltransferase 2) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase 2) (SSAT-2)","SAT2 SSAT2","Bos taurus (Bovine)",170
"Q5M7Q1","FLCN_XENTR","Folliculin","flcn","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",579
"Q99805","TM9S2_HUMAN","Transmembrane 9 superfamily member 2 (p76)","TM9SF2","Homo sapiens (Human)",663
"Q15746","MYLK_HUMAN","Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]","MYLK MLCK MLCK1 MYLK1","Homo sapiens (Human)",1914
"Q96QE2","MYCT_HUMAN","Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13)","SLC2A13","Homo sapiens (Human)",648
"P0A9U2","YBHF_SHIFL","Probable multidrug ABC transporter ATP-binding protein YbhF","ybhF SF0744 S0785","Shigella flexneri",578
"A5PJK0","SPB10_BOVIN","Serpin B10","SERPINB10","Bos taurus (Bovine)",397
"P10383","OTU_DROME","Protein ovarian tumor locus","otu CG12743","Drosophila melanogaster (Fruit fly)",853
"Q16TA2","RUVB2_AEDAE","RuvB-like helicase 2 (EC 3.6.4.12) (Reptin)","rept AAEL010341","Aedes aegypti (Yellowfever mosquito) (Culex aegypti)",465
"Q29IL2","POMT2_DROPS","Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2) (Protein twisted)","tw GA11548","Drosophila pseudoobscura pseudoobscura (Fruit fly)",749
"Q32LP4","S4A10_BOVIN","Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10)","SLC4A10","Bos taurus (Bovine)",1117
"Q8N2G6","ZCH24_HUMAN","Zinc finger CCHC domain-containing protein 24","ZCCHC24 C10orf56","Homo sapiens (Human)",241
"Q6NYD1","ROMO1_DANRE","Reactive oxygen species modulator 1 (ROS modulator 1) (Protein MGR2 homolog)","romo1 zgc:73345","Danio rerio (Zebrafish) (Brachydanio rerio)",80
"P55211","CASP9_HUMAN","Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]","CASP9 MCH6","Homo sapiens (Human)",416
"Q21624","CORO_CAEEL","Coronin-like protein cor-1","cor-1 R01H10.3","Caenorhabditis elegans",607
"Q9Y3D8","KAD6_HUMAN","Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)","AK6 CINAP AD-004 CGI-137","Homo sapiens (Human)",172
"P30044","PRDX5_HUMAN","Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)","PRDX5 ACR1 SBBI10","Homo sapiens (Human)",214
"Q1JQC6","SIR4_BOVIN","NAD-dependent protein lipoamidase sirtuin-4, mitochondrial (EC 2.3.1.-) (NAD-dependent ADP-ribosyltransferase sirtuin-4) (EC 2.4.2.-) (NAD-dependent protein deacetylase sirtuin-4) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 4) (SIR2-like protein 4)","SIRT4","Bos taurus (Bovine)",315
"Q5R8S2","PSB5_PONAB","Proteasome subunit beta type-5 (EC 3.4.25.1)","PSMB5","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",263
"O35453","HEPS_MOUSE","Serine protease hepsin (EC 3.4.21.106) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain]","Hpn","Mus musculus (Mouse)",436
"Q5JWF2","GNAS1_HUMAN","Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)","GNAS GNAS1","Homo sapiens (Human)",1037
"G5E8P0","GCP6_MOUSE","Gamma-tubulin complex component 6 (GCP-6)","Tubgcp6 Kiaa1669","Mus musculus (Mouse)",1769
"Q8NBS9","TXND5_HUMAN","Thioredoxin domain-containing protein 5 (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Thioredoxin-like protein p46)","TXNDC5 TLP46 UNQ364/PRO700","Homo sapiens (Human)",432
"Q9TUM3","STA5B_BOVIN","Signal transducer and activator of transcription 5B","STAT5B","Bos taurus (Bovine)",787
"P31396","HR3_DROME","Probable nuclear hormone receptor HR3 (dHR3) (Nuclear receptor subfamily 1 group F member 4)","Hr3 Hr46 CG11823","Drosophila melanogaster (Fruit fly)",487
