"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q9P4Z1","TOM1_NEUCR","E3 ubiquitin-protein ligase TOM1-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TOM1-like)","B11B22.010 NCU08501","Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)",4076
"Q15034","HERC3_HUMAN","Probable E3 ubiquitin-protein ligase HERC3 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 3) (HECT-type E3 ubiquitin transferase HERC3)","HERC3 KIAA0032","Homo sapiens (Human)",1050
"P0DPD7","EFMT4_HUMAN","EEF1A lysine methyltransferase 4 (EC 2.1.1.-)","EEF1AKMT4","Homo sapiens (Human)",255
"Q9LYU8","AK1_ARATH","Aspartokinase 1, chloroplastic (EC 2.7.2.4) (Aspartate kinase 1)","AK1 AK AK-LYS1 At5g13280 T31B5.100","Arabidopsis thaliana (Mouse-ear cress)",569
"Q8IZN3","ZDH14_HUMAN","Palmitoyltransferase ZDHHC14 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 14) (DHHC-14) (NEW1 domain-containing protein) (NEW1CP) (Zinc finger DHHC domain-containing protein 14)","ZDHHC14","Homo sapiens (Human)",488
"Q91V37","VATO_MOUSE","V-type proton ATPase 21 kDa proteolipid subunit (V-ATPase 21 kDa proteolipid subunit) (23 kDa subunit of V-ATPase) (Vacuolar proton pump 21 kDa proteolipid subunit)","Atp6v0b Atp6f","Mus musculus (Mouse)",205
"A4IWI7","UNG_FRATW","Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)","ung FTW_0348","Francisella tularensis subsp. tularensis (strain WY96-3418)",220
"Q9XID0","FAB1D_ARATH","Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Protein FORMS APLOID AND BINUCLEATE CELLS 1D)","FAB1D At1g34260 F23M19.8","Arabidopsis thaliana (Mouse-ear cress)",1456
"Q39022","MPK2_ARATH","Mitogen-activated protein kinase 2 (AtMPK2) (MAP kinase 2) (EC 2.7.11.24)","MPK2 At1g59580 T30E16.13","Arabidopsis thaliana (Mouse-ear cress)",376
"P25441","RPC4_YEAST","DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (C53) (DNA-directed RNA polymerase III 47 kDa polypeptide)","RPC53 RPC4 YDL150W D1557","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",422
"Q00808","HETE1_PODAS","Vegetative incompatibility protein HET-E-1","HET-E1","Podospora anserina (Pleurage anserina)",1356
"W0LYS5","CAMKI_MACNP","Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (MnCaMKI)","CaMKI","Macrobrachium nipponense (Oriental river shrimp) (Palaemon nipponensis)",345
"Q9UNH5","CC14A_HUMAN","Dual specificity protein phosphatase CDC14A (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog A)","CDC14A","Homo sapiens (Human)",594
"Q5ZLT0","XPO7_CHICK","Exportin-7","XPO7 RCJMB04_4p4","Gallus gallus (Chicken)",1087
"P62878","RBX1_MOUSE","E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (RING finger protein 75) (RING-box protein 1) (Rbx1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed]","Rbx1","Mus musculus (Mouse)",108
"Q54I89","RENT1_DICDI","Regulator of nonsense transcripts 1 (EC 3.6.4.-) (Up-frameshift suppressor 1 homolog)","upf1 DDB_G0288923","Dictyostelium discoideum (Slime mold)",1331
"Q9SUM2","RUXF_ARATH","Probable small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)","At4g30220 F9N11.70","Arabidopsis thaliana (Mouse-ear cress)",88
"Q5ZLD7","VPS53_CHICK","Vacuolar protein sorting-associated protein 53 homolog","VPS53 RCJMB04_6k3","Gallus gallus (Chicken)",831
"Q5T4D3","TMTC4_HUMAN","Protein O-mannosyl-transferase TMTC4 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 4)","TMTC4","Homo sapiens (Human)",741
"B9EY52","KN13B_ORYSJ","Kinesin-like protein KIN-13B","KIN13B Os01g0625200 LOC_Os01g43580 OsJ_02667","Oryza sativa subsp. japonica (Rice)",707
"Q9ZJF1","ILVE_HELPJ","Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)","ilvE jhp_1361","Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)",340
"A5VUZ8","RLME_BRUO2","Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)","rlmE ftsJ rrmJ BOV_A0642","Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)",240
"O81069","Y2899_ARATH","Probable leucine-rich repeat receptor-like protein kinase At2g28990 (EC 2.7.11.1)","At2g28990 T9I4.7","Arabidopsis thaliana (Mouse-ear cress)",884
"Q54DD7","UNC50_DICDI","Protein unc-50 homolog","DDB_G0292320","Dictyostelium discoideum (Slime mold)",261
"Q0CY48","DBP9_ASPTN","ATP-dependent RNA helicase dbp9 (EC 3.6.4.13)","dbp9 ATEG_01386","Aspergillus terreus (strain NIH 2624 / FGSC A1156)",619
"Q9NP64","NO40_HUMAN","Nucleolar protein of 40 kDa (pNO40) (Pnn-interacting nucleolar protein) (Putative S1 RNA-binding domain protein) (PS1D protein) (Zinc finger CCHC domain-containing protein 17)","ZCCHC17 PS1D HSPC243 HSPC251 LDC4","Homo sapiens (Human)",241
"P0CT80","RS28B_SCHPO","40S ribosomal protein S28-B (S33)","rps2802 rps28b SPCC285.15c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",68
"Q6NWJ4","DNJC2_DANRE","DnaJ homolog subfamily C member 2","dnajc2 zgc:85671","Danio rerio (Zebrafish) (Brachydanio rerio)",618
"Q6F6B5","ARC3_ARATH","Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 3","ARC3 At1g75010 F25A4.3 F9E10.14","Arabidopsis thaliana (Mouse-ear cress)",741
"Q3T042","NOB1_BOVIN","RNA-binding protein NOB1 (EC 3.1.-.-)","NOB1","Bos taurus (Bovine)",413
"Q25691","VATB_PLAFA","V-type proton ATPase subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B)","VAPB","Plasmodium falciparum",494
"Q54JE4","ODO1_DICDI","2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)","ogdh DDB_G0288127","Dictyostelium discoideum (Slime mold)",1013
"P36428","SYA_ARATH","Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)","ALATS ALARS At1g50200 F14I3.17","Arabidopsis thaliana (Mouse-ear cress)",1003
"Q9LUZ4","C3H66_ARATH","Zinc finger CCCH domain-containing protein 66 (AtC3H66)","At5g58620 MZN1.16 MZN1.8","Arabidopsis thaliana (Mouse-ear cress)",607
"P58006","SESN1_MOUSE","Sestrin-1 (EC 1.11.1.-)","Sesn1 Pa26 Sest1","Mus musculus (Mouse)",492
"P55354","GM4D_SINFN","GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)","gmd noeL NGR_a00410 y4aG","Sinorhizobium fredii (strain NBRC 101917 / NGR234)",351
"Q54D08","LST8_DICDI","Protein LST8 homolog (Lethal with sec thirteen 8 protein)","lst8 DDB_G0292592","Dictyostelium discoideum (Slime mold)",304
"Q6A1A2","PDPK2_HUMAN","Putative 3-phosphoinositide-dependent protein kinase 2 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 2 pseudogene)","PDPK2P PDPK2","Homo sapiens (Human)",396
"Q23716","EF2_CRYPV","Elongation factor 2 (EF-2)","","Cryptosporidium parvum",832
"Q9LFN6","RH56_ARATH","DEAD-box ATP-dependent RNA helicase 56 (EC 3.6.4.13) (UAP56 homolog B)","RH56 UAP56B At5g11200 F2I11.90","Arabidopsis thaliana (Mouse-ear cress)",427
"Q38AH0","MTR1_TRYB2","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (TbMTr1)","MTR1 Tb10.6k15.2610","Trypanosoma brucei brucei (strain 927/4 GUTat10.1)",370
"Q6AZG6","SYFAA_XENLA","Phenylalanine--tRNA ligase alpha subunit A (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit A) (PheRS)","farsa-a farsla-a","Xenopus laevis (African clawed frog)",498
"Q56P27","NIP7_PIG","60S ribosome subunit biogenesis protein NIP7 homolog","NIP7","Sus scrofa (Pig)",180
"Q8VY00","ESP3_ARATH","Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2) (Protein EMBRYO DEFECTIVE 2733) (Protein ENHANCED SILENCING PHENOTYPE 3)","ESP3 EMB2733 At1g32490 F5D14.27","Arabidopsis thaliana (Mouse-ear cress)",1044
"Q99020","ROAA_MOUSE","Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (CArG-binding factor-A) (CBF-A)","Hnrnpab Cbf-a Cgbfa Hnrpab","Mus musculus (Mouse)",285
"Q93W28","Y4554_ARATH","Uncharacterized protein At4g15545","At4g15545 dl3810w FCAALL.328","Arabidopsis thaliana (Mouse-ear cress)",337
"Q9JJ59","ABCB9_MOUSE","ATP-binding cassette sub-family B member 9 (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (mABCB9) (TAP-like protein) (TAPL)","Abcb9 Kiaa1520","Mus musculus (Mouse)",762
"Q9LVP1","TOP3A_ARATH","DNA topoisomerase 3-alpha (EC 5.6.2.1)","TOP3A At5g63920 MGI19.16","Arabidopsis thaliana (Mouse-ear cress)",926
"A3AWA4","HMA5_ORYSJ","Copper-transporting ATPase HMA5 (EC 7.2.2.8) (Protein HEAVY METAL ATPASE 5) (OsHMA5)","HMA5 Os04g0556000 LOC_Os04g46940 OsJ_15734 OSJNBb0012E24.8","Oryza sativa subsp. japonica (Rice)",1002
"Q5ZKM1","SPB1_CHICK","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)","FTSJ3 RCJMB04_10b6","Gallus gallus (Chicken)",832
"P43842","PNTA_HAEIN","NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)","pntA HI_1362","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)",512
"Q9I2A8","ATOB_PSEAE","Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)","atoB PA2001","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",393
"Q7MYI0","RSMB_PHOLL","Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)","rsmB rrmB sun plu4697","Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)",429
"Q922R0","PRKX_MOUSE","cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (PKA-related protein kinase)","Prkx Pkare","Mus musculus (Mouse)",355
"P44121","DNLI_HAEIN","DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])","ligA HI_1182/HI_1183","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)",268
"Q96LU5","IMP1L_HUMAN","Mitochondrial inner membrane protease subunit 1 (EC 3.4.21.-) (IMP1-like protein)","IMMP1L","Homo sapiens (Human)",166
"Q54T05","RIO2_DICDI","Serine/threonine-protein kinase rio2 (EC 2.7.11.1)","rio2 DDB_G0282099","Dictyostelium discoideum (Slime mold)",522
"Q0UWT7","PNO1_PHANO","Pre-rRNA-processing protein PNO1","PNO1 SNOG_03777","Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)",262
"Q6MEC9","SYN_PARUW","Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)","asnS pc0346","Protochlamydia amoebophila (strain UWE25)",467
"Q6NKS1","P2C65_ARATH","Probable protein phosphatase 2C 65 (AtPP2C65) (EC 3.1.3.16)","At5g01700 F7A7.220","Arabidopsis thaliana (Mouse-ear cress)",382
"P35267","RL172_HORVU","60S ribosomal protein L17-2","","Hordeum vulgare (Barley)",172
"Q5M9F1","RBM34_RAT","RNA-binding protein 34 (RNA-binding motif protein 34)","Rbm34","Rattus norvegicus (Rat)",428
"A8JF70","ODA1_CHLRE","Outer dynein arm protein 1 (Docking complex component 2)","ODA1 DCC2 CHLREDRAFT_132719","Chlamydomonas reinhardtii (Chlamydomonas smithii)",552
"P45858","MMGD_BACSU","Citrate/2-methylcitrate synthase (EC 2.3.3.-) (EC 2.3.3.16) (2-methylcitrate synthase) (2-MCS) (MCS) (Citrate synthase)","mmgD yqiO BSU24140","Bacillus subtilis (strain 168)",372
"Q54ML1","NADE_DICDI","Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])","nadsyn1 DDB_G0285877","Dictyostelium discoideum (Slime mold)",713
"Q9JKA9","HCN2_RAT","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2","Hcn2","Rattus norvegicus (Rat)",863
"Q56YN8","SMC3_ARATH","Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Chromosome segregation protein SMC-3) (Cohesin complex subunit SMC-3) (Protein TITAN7)","SMC3 TTN7 At2g27170 T22O13.6","Arabidopsis thaliana (Mouse-ear cress)",1204
"Q8L636","NCL_ARATH","Sodium/calcium exchanger NCL (Na(+)/Ca(2+)-exchange protein NCL) (Protein NCX-like) (AtNCL)","NCL At1g53210 F12M16.12","Arabidopsis thaliana (Mouse-ear cress)",585
"Q51342","PUR1_PSEAE","Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)","purF PA3108","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",501
"Q6DDZ9","MEAK7_XENLA","MTOR-associated protein MEAK7 (MEAK7) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1)","meak7 KIAA1609 tldc1","Xenopus laevis (African clawed frog)",460
"Q9SPE6","SNAA2_ARATH","Alpha-soluble NSF attachment protein 2 (Alpha-SNAP2) (N-ethylmaleimide-sensitive factor attachment protein alpha 2)","ASNAP2 ASNAP At3g56190 F18O21_150","Arabidopsis thaliana (Mouse-ear cress)",289
"P94132","ETFD_ACIAD","Probable electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)","etfD ACIAD1680","Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)",570
"O82528","RL15_PETHY","60S ribosomal protein L15","RPL15","Petunia hybrida (Petunia)",204
"B2V6N0","LON_SULSY","Lon protease (EC 3.4.21.53) (ATP-dependent protease La)","lon SYO3AOP1_0116","Sulfurihydrogenibium sp. (strain YO3AOP1)",800
"Q5R559","DCTN5_PONAB","Dynactin subunit 5 (Dynactin subunit p25)","DCTN5","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",182
"Q969V5","MUL1_HUMAN","Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 2.3.2.27) (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (MAPL) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218) (RING-type E3 ubiquitin transferase NFKB 1)","MUL1 C1orf166 GIDE MAPL MULAN RNF218","Homo sapiens (Human)",352
"Q9NRK6","ABCBA_HUMAN","ATP-binding cassette sub-family B member 10, mitochondrial (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)","ABCB10","Homo sapiens (Human)",738
"Q0BUP7","RL2_GRABC","50S ribosomal protein L2","rplB GbCGDNIH1_0557","Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1)",276
"Q6DJI5","PITH1_XENLA","PITH domain-containing protein 1","pithd1","Xenopus laevis (African clawed frog)",209
"Q6ZT12","UBR3_HUMAN","E3 ubiquitin-protein ligase UBR3 (EC 2.3.2.27) (N-recognin-3) (RING-type E3 ubiquitin transferase UBR3) (Ubiquitin-protein ligase E3-alpha-3) (Ubiquitin-protein ligase E3-alpha-III) (Zinc finger protein 650)","UBR3 KIAA2024 ZNF650","Homo sapiens (Human)",1888
"Q84PB3","IF4G1_ORYSJ","Eukaryotic translation initiation factor isoform 4G-1 (eIF(iso)-4G-1) (eIF(iso)4G-1) (Eukaryotic initiation factor iso-4F subunit p82) (eIF-(iso)4F p82 subunit)","Os04g0499300 LOC_Os04g42140 OSJNBa0029H02.9","Oryza sativa subsp. japonica (Rice)",793
"Q4ZSZ2","ARNA_PSEU2","Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]","arnA Psyr_2691","Pseudomonas syringae pv. syringae (strain B728a)",664
"Q4R8C7","AIDA_MACFA","Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)","AIDA QtsA-12796","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",275
"B2RYG6","OTUB1_RAT","Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (Ubiquitin-specific-processing protease OTUB1)","Otub1","Rattus norvegicus (Rat)",271
"Q8TF77","KAPR_MUCCL","cAMP-dependent protein kinase regulatory subunit (PKA regulatory subunit)","pkar","Mucor circinelloides f. lusitanicus (Mucor racemosus var. lusitanicus)",427
"Q03133","ERYA3_SACER","6-deoxyerythronolide-B synthase EryA3, modules 5 and 6 (DEBS 3) (EC 2.3.1.94) (6-deoxyerythronolide B synthase III) (Erythronolide synthase) (ORF C)","eryA","Saccharopolyspora erythraea (Streptomyces erythraeus)",3172
"Q9C774","PSD7B_ARATH","26S proteasome non-ATPase regulatory subunit 7 homolog B (26S proteasome regulatory subunit RPN8b) (AtRPN8b) (Protein MATERNAL EFFECT EMBRYO ARREST 34)","RPN8B MEE34 At3g11270 F11B9.19","Arabidopsis thaliana (Mouse-ear cress)",310
"Q6EE22","UNK_CANLF","RING finger protein unkempt homolog (Zinc finger CCCH domain-containing protein 5)","UNK KIAA1753 ZC3H5","Canis lupus familiaris (Dog) (Canis familiaris)",810
"P53396","ACLY_HUMAN","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)","ACLY","Homo sapiens (Human)",1101
"P04363","KITH_MONPZ","Thymidine kinase (EC 2.7.1.21)","TK L2R","Monkeypox virus (strain Zaire-96-I-16) (MPX)",177
"Q94503","CYSP6_DICDI","Cysteine proteinase 6 (EC 3.4.22.-)","cprF CP6 DDB_G0279185","Dictyostelium discoideum (Slime mold)",434
"Q9NQ90","ANO2_HUMAN","Anoctamin-2 (Transmembrane protein 16B)","ANO2 C12orf3 TMEM16B","Homo sapiens (Human)",1003
"Q6BIV1","ISN1_DEBHA","IMP-specific 5'-nucleotidase 1 (EC 3.1.3.99)","ISN1 DEHA2G07414g","Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)",485
"Q3EAR7","GLYT2_ARATH","Probable glycosyltransferase At3g42180 (EC 2.4.-.-)","At3g42180 T27B3.50","Arabidopsis thaliana (Mouse-ear cress)",470
"Q6P861","PP4C_XENTR","Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16)","ppp4c","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",307
"Q84WW3","VIP2L_ARATH","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase VIP2 (EC 2.7.4.21) (EC 2.7.4.24) (Protein VIP HOMOLOG 1) (VIP1 homolog protein 2) (Arabidopsis homolog protein of yeast VIP1 2) (AtVIP2)","VIP2 VIH1 At5g15070 F2G14.190","Arabidopsis thaliana (Mouse-ear cress)",1049
"Q09JZ4","DAAF1_CHLRE","Leucine-rich repeat-containing protein ODA7 (Dynein assembly factor 1, axonemal homolog) (Leucine-rich repeat-containing protein 50 homolog) (Outer row dynein-assembly protein 7)","ODA7 CHLREDRAFT_116664","Chlamydomonas reinhardtii (Chlamydomonas smithii)",432
"Q9CQ46","DRC8_MOUSE","Dynein regulatory complex protein 8 (EF-hand calcium-binding domain-containing protein 2)","Efcab2 Drc8","Mus musculus (Mouse)",164
"P12261","EF1G_ARTSA","Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)","","Artemia salina (Brine shrimp)",430
"Q96G03","PGM2_HUMAN","Phosphoglucomutase-2 (PGM 2) (EC 5.4.2.2) (Glucose phosphomutase 2) (Phosphodeoxyribomutase) (Phosphopentomutase) (EC 5.4.2.7)","PGM2 MSTP006","Homo sapiens (Human)",612
"Q9M339","RS32_ARATH","40S ribosomal protein S3-2","RPS3B At3g53870 F5K20_170","Arabidopsis thaliana (Mouse-ear cress)",249
"A0A0L0P6P7","TOP3_CANAR","DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)","TOP3 QG37_00967","Candida auris (Yeast)",640
"Q14012","KCC1A_HUMAN","Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)","CAMK1","Homo sapiens (Human)",370
"Q54XM0","CAPTB_DICDI","Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein 2","captB DDB_G0278947","Dictyostelium discoideum (Slime mold)",409
"A7SWH1","PESC_NEMVE","Pescadillo homolog","v1g194255","Nematostella vectensis (Starlet sea anemone)",515
"Q23357","CD112_CAEEL","Cyclin-dependent kinase 11.2 (EC 2.7.11.22)","cdk-11.2 ZC504.3","Caenorhabditis elegans",668
"F4I366","NRPA2_ARATH","DNA-directed RNA polymerase I subunit 2 (DNA-directed RNA polymerase I subunit RPA2) (DNA polymerase I subunit A2) (EC 2.7.7.6) (Nuclear RNA polymerase A2)","NRPA2 RPA2 At1g29940 F1N18.2 T1P2.15","Arabidopsis thaliana (Mouse-ear cress)",1178
"P55390","Y4CH_SINFN","Probable cold shock protein y4cH","NGR_a00060 y4cH","Sinorhizobium fredii (strain NBRC 101917 / NGR234)",69
"Q09722","EIF3M_SCHPO","Eukaryotic translation initiation factor 3 subunit M (eIF3m)","eif3m csn72 csn7b SPAC1751.03 SPAC31A2.01","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",402
"Q02912","DHSO_BOMMO","Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Xylitol dehydrogenase) (XDH) (EC 1.1.1.9)","SDH","Bombyx mori (Silk moth)",348
"P13234","KCC4_RAT","Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR) (Calspermin)","Camk4","Rattus norvegicus (Rat)",474
"Q8LPN7","RNG1L_ARATH","E3 ubiquitin-protein ligase RING1-like (EC 2.3.2.27) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1-like)","At3g19950 MPN9.19","Arabidopsis thaliana (Mouse-ear cress)",328
"O32210","GR_BACSU","Glyoxal reductase (GR) (EC 1.1.1.-) (Methylglyoxal reductase) (EC 1.1.1.283)","yvgN BSU33400","Bacillus subtilis (strain 168)",276
"Q2KJJ0","PRP6_BOVIN","Pre-mRNA-processing factor 6 (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)","PRPF6","Bos taurus (Bovine)",941
"O94400","YQF7_SCHPO","PHD and RING finger domain-containing protein C126.07c","SPCC126.07c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",571
"Q8N573","OXR1_HUMAN","Oxidation resistance protein 1","OXR1 Nbla00307","Homo sapiens (Human)",874
"A6WXR6","RL21_OCHA4","50S ribosomal protein L21","rplU Oant_1050","Ochrobactrum anthropi (strain ATCC 49188 / DSM 6882 / JCM 21032 / NBRC 15819 / NCTC 12168)",129
"O94383","SMC1_SCHPO","Structural maintenance of chromosomes protein 1 (Chromosome segregation protein smc1) (Cohesin complex subunit psm1)","psm1 smc1 SPBC29A10.04","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",1228
"Q54KL5","WDR5_DICDI","WD repeat-containing protein 5 homolog","wdr5 DDB_G0287273","Dictyostelium discoideum (Slime mold)",335
"Q2TA16","DRC2_BOVIN","Dynein regulatory complex subunit 2 (Coiled-coil domain-containing protein 65)","CCDC65 DRC2","Bos taurus (Bovine)",498
"Q5PQZ3","ZNT9_DANRE","Zinc transporter 9 (ZnT-9) (Solute carrier family 30 member 9)","slc30a9","Danio rerio (Zebrafish) (Brachydanio rerio)",573
"P15479","ACEA_RICCO","Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratsysase)","","Ricinus communis (Castor bean)",576
"G5EFJ9","UN103_CAEEL","Potassium voltage-gated channel unc-103 (Ether-a-go-go-related gene potassium channel homolog) (ERG homolog) (Eag-related protein homolog) (Ether-a-go-go-related protein homolog) (Uncoordinated protein 103)","unc-103 C30D11.1","Caenorhabditis elegans",829
"Q12314","SFM1_YEAST","Protein arginine N-methyltransferase SFM1 (EC 2.1.1.-) (SPOUT family methyltransferase 1)","SFM1 YOR021C OR26.11","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",213
"Q96GG9","DCNL1_HUMAN","DCN1-like protein 1 (DCNL1) (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Squamous cell carcinoma-related oncogene)","DCUN1D1 DCN1 DCUN1L1 RP42 SCCRO","Homo sapiens (Human)",259
"Q62968","SCNAA_RAT","Sodium channel protein type 10 subunit alpha (Peripheral nerve sodium channel 3) (PN3) (Sensory neuron sodium channel) (Sodium channel protein type X subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.8)","Scn10a Sns","Rattus norvegicus (Rat)",1956
"Q8L7A0","TAUE3_ARATH","Sulfite exporter TauE/SafE family protein 3","At2g25737 F17H15 F3N11","Arabidopsis thaliana (Mouse-ear cress)",476
